 ,Label,Area,Min,Max,XM,YM,IntDen,RawIntDen
1,GFP_UV_3080.JPG (green)-1,1.273E-4,91,97,6.996,0.265,0.012,842
2,GFP_UV_3080.JPG (green)-1,0.001,90,135,3.566,0.989,0.123,8714
3,GFP_UV_3080.JPG (green)-1,3.252E-4,90,108,4.533,1.315,0.032,2259
4,GFP_UV_3080.JPG (green)-1,7.212E-4,90,127,5.576,1.327,0.076,5406
5,GFP_UV_3080.JPG (green)-1,0.004,90,153,4.886,1.748,0.487,34422
6,GFP_UV_3080.JPG (green)-1,7.777E-4,90,106,7.488,1.757,0.076,5359
7,GFP_UV_3080.JPG (green)-1,4.242E-4,90,100,7.283,1.876,0.040,2833
8,GFP_UV_3080.JPG (green)-1,0.002,90,140,4.337,2.238,0.265,18747
9,GFP_UV_3080.JPG (green)-1,2.828E-4,90,107,4.387,2.890,0.028,1968
10,GFP_UV_3080.JPG (green)-1,0.001,90,110,7.275,3.342,0.118,8355
11,GFP_UV_3080.JPG (green)-1,1.697E-4,90,94,5.610,3.516,0.016,1103
12,GFP_UV_3080.JPG (green)-1,0.002,90,157,5.563,3.689,0.281,19902
13,GFP_UV_3080.JPG (green)-1,4.383E-4,90,109,9.509,3.984,0.043,3051
14,GFP_UV_3080.JPG (green)-1,1.131E-4,90,93,6.339,4.115,0.010,729
15,GFP_UV_3080.JPG (green)-1,1.838E-4,90,94,1.994,4.193,0.017,1200
16,GFP_UV_3080.JPG (green)-1,0.002,90,151,6.639,4.550,0.274,19407
17,GFP_UV_3080.JPG (green)-1,0.002,90,130,6.623,4.659,0.172,12130
18,GFP_UV_3080.JPG (green)-1,0.077,90,187,7.120,4.934,9.163,648001
19,GFP_UV_3080.JPG (green)-1,3.959E-4,90,100,6.614,4.808,0.037,2637
20,GFP_UV_3080.JPG (green)-1,0.004,90,116,6.568,4.919,0.407,28794
21,GFP_UV_3080.JPG (green)-1,2.262E-4,90,95,6.511,4.974,0.021,1474
22,GFP_UV_3080.JPG (green)-1,6.787E-4,90,107,6.599,4.984,0.066,4676
23,GFP_UV_3080.JPG (green)-1,5.090E-4,90,102,6.537,5.072,0.048,3429
24,GFP_UV_3080.JPG (green)-1,0.001,90,107,7.292,5.099,0.138,9772
25,GFP_UV_3080.JPG (green)-1,0.007,90,143,7.213,5.163,0.802,56752
26,GFP_UV_3080.JPG (green)-1,0.004,90,137,6.385,5.161,0.445,31466.000
27,GFP_UV_3080.JPG (green)-1,0.002,90,142,6.506,5.238,0.261,18456
28,GFP_UV_3080.JPG (green)-1,9.898E-5,90,91,6.372,5.227,0.009,633
29,GFP_UV_3080.JPG (green)-1,0.002,90,116,6.585,5.264,0.235,16627
30,GFP_UV_3080.JPG (green)-1,3.818E-4,90,90,5.810,5.262,0.034,2430
31,GFP_UV_3080.JPG (green)-1,0.002,90,103,7.193,5.306,0.203,14382
32,GFP_UV_3080.JPG (green)-1,8.484E-4,90,93,5.930,5.307,0.077,5469
33,GFP_UV_3080.JPG (green)-1,1.555E-4,90,92,6.332,5.306,0.014,998.000
34,GFP_UV_3080.JPG (green)-1,2.687E-4,90,92,6.526,5.308,0.024,1724.000
35,GFP_UV_3080.JPG (green)-1,7.777E-4,90,95,5.858,5.318,0.072,5073
36,GFP_UV_3080.JPG (green)-1,7.070E-4,90,102,6.200,5.340,0.067,4755
37,GFP_UV_3080.JPG (green)-1,0.019,90,116,5.955,5.439,1.848,130695
38,GFP_UV_3080.JPG (green)-1,0.014,90,112,7.176,5.405,1.364,96432
39,GFP_UV_3080.JPG (green)-1,0.002,90,118,6.397,5.399,0.210,14817
40,GFP_UV_3080.JPG (green)-1,7.070E-4,90,102,6.107,5.455,0.067,4768
41,GFP_UV_3080.JPG (green)-1,0.062,90,157,5.664,5.607,6.306,445966.000
42,GFP_UV_3080.JPG (green)-1,5.515E-4,90,95,6.002,5.500,0.051,3583
43,GFP_UV_3080.JPG (green)-1,7.636E-4,90,112,7.524,5.625,0.076,5389
44,GFP_UV_3080.JPG (green)-1,1.697E-4,90,95,6.380,5.633,0.016,1105
45,GFP_UV_3080.JPG (green)-1,0.001,90,118,6.263,5.675,0.139,9860
46,GFP_UV_3080.JPG (green)-1,0.001,90,132,6.632,5.699,0.147,10425
47,GFP_UV_3080.JPG (green)-1,0.003,90,131,6.482,5.742,0.288,20349
48,GFP_UV_3080.JPG (green)-1,1.273E-4,90,92,7.898,5.758,0.012,818
49,GFP_UV_3080.JPG (green)-1,8.484E-5,90,90,5.876,5.768,0.008,540
50,GFP_UV_3080.JPG (green)-1,0.001,90,111,6.773,5.790,0.115,8155
51,GFP_UV_3080.JPG (green)-1,8.201E-4,90,104,6.450,5.879,0.079,5575
52,GFP_UV_3080.JPG (green)-1,6.080E-4,90,107,5.830,5.889,0.060,4212
53,GFP_UV_3080.JPG (green)-1,1.414E-4,90,93,5.802,5.902,0.013,912
